# Age|Condition|Time_1|Time_2 (Condition_1:text-button first,Condition_2:button-text first)
25,1,1286,1181
32,2,6045,1202
20,1,4459,3997
49,1,9562,3720
29,2,6236,3288
20,1,9077,4650
23,1,7615,3113
20,1,3751,3122
21,2,9934,2471
21,2,22537,21193
21,1,13043,70040
47,1,8930,1777
48,1,15064,1884
23,1,8938,1470
54,1,9461,3301
30,2,14893,6527
53,2,9369,5837
25,2,13809,6266
24,2,7733,2718
26,1,6101,1740
21,2,6696,2581
23,1,9945,1603
24,2,6323,4761
22,2,4886,3179
20,1,5202,2170
28,2,7389,2645
38,2,3786,7457
21,2,1217,1008
22,2,10641,7940
26,2,6356,2073
